"trip_id","transport_type","origin_station","destination_station","actual_arrival_delay_min","weather_condition","temperature_C","humidity_percent","wind_speed_kmh","precipitation_mm","event_type","peak_hour","is_late"
"T00069","Train","Station_42","Station_14",18,"Snow",-2.53,50.88,4.8,15.24,"Parade",0,TRUE
"T00070","Train","Station_17","Station_35",12,"Storm",6.81,46.51,46.99,33.25,"Festival",0,TRUE
"T00071","Train","Station_37","Station_48",-2,"Clear",25.61,53.08,9.57,1.67,"No Event",0,FALSE
"T00072","Bus","Station_48","Station_34",-6,"Fog",28.32,59.26,12.36,2.13,"No Event",0,FALSE
"T00073","Train","Station_39","Station_10",-3,"Clear",24.99,59.42,14.64,1.53,"No Event",0,FALSE
"T00074","Bus","Station_28","Station_35",9,"Clear",28.32,59.03,8.6,2.26,"No Event",0,TRUE
"T00075","Train","Station_41","Station_11",15,"Storm",14.96,52.11,44.2,28.88,"No Event",0,TRUE
"T00076","Metro","Station_35","Station_11",-3,"Snow",-9.67,49.13,14.01,17.09,"No Event",0,FALSE
"T00077","Metro","Station_47","Station_21",10,"Rain",18.99,36.32,10.78,8.96,"Concert",0,TRUE
"T00078","Tram","Station_48","Station_21",4,"Rain",11.92,NA,18.17,7.9,"No Event",0,FALSE
"T00079","Metro","Station_18","Station_22",8,"Rain",36.21,52.31,11.53,15.56,"No Event",0,TRUE
"T00080","Tram","Station_14","Station_45",-3,"Clear",19.18,50.62,8.3,2.05,"No Event",0,FALSE
"T00081","Metro","Station_35","Station_7",5,"Storm",-4.22,52.22,50.7,14.3,"No Event",0,TRUE
"T00082","Bus","Station_44","Station_17",11,"Rain",19.66,59.13,10.83,7.5,"Sports",0,TRUE
"T00083","Metro","Station_41","Station_2",5,"Cloudy",20.25,54.27,18.5,1.83,"Sports",0,TRUE
"T00084","Tram","Station_7","Station_12",-9,"Cloudy",20.44,62.33,11.2,1.47,"No Event",0,FALSE
"T00085","Tram","Station_41","Station_42",4,"Cloudy",20.33,58.34,14.32,2.11,"Concert",0,FALSE
"T00086","Train","Station_13","Station_18",-7,"Fog",27.52,60.35,8.14,2.24,"No Event",0,FALSE
"T00087","Bus","Station_18","Station_11",11,"Storm",20.32,NA,52.5,17.92,"No Event",0,TRUE
"T00088","Metro","Station_37","Station_16",-5,"Clear",29.9,63.16,19.04,2.07,"No Event",0,FALSE
"T00089","Train","Station_13","Station_49",4,"Clear",21.9,54.7,15.89,1.96,"Parade",0,FALSE
"T00090","Metro","Station_36","Station_18",13,"Storm",7.29,54.61,44.12,13.04,"No Event",0,TRUE
"T00091","Metro","Station_31","Station_35",10,"Snow",17.21,55.64,12.33,14.11,"No Event",0,TRUE
"T00092","Train","Station_2","Station_26",-4,"Snow",14.47,52,13.86,13.99,"Protest",0,FALSE
"T00093","Train","Station_16","Station_16",-3,"Fog",24.3,50.69,21.64,1.57,"No Event",0,FALSE
"T00094","Train","Station_9","Station_6",17,"Storm",13.3,50.18,37.31,24.01,"No Event",0,TRUE
"T00095","Train","Station_9","Station_44",22,"Snow",2.97,50.16,17.71,14.14,"Festival",0,TRUE
"T00096","Train","Station_38","Station_43",-4,"Fog",22.12,62.67,10.3,NA,"No Event",0,FALSE
"T00097","Metro","Station_11","Station_47",18,"Rain",20.23,51.21,16.02,5.94,"Concert",0,TRUE
"T00098","Train","Station_22","Station_47",9,"Rain",22.3,56.38,19.48,8.54,"Sports",0,TRUE
"T00099","Bus","Station_33","Station_48",21,"Fog",15.87,47.68,5.65,2.35,"Sports",0,TRUE
"T00100","Tram","Station_36","Station_42",26,"Storm",4.05,57.7,51.2,39.98,"Parade",0,TRUE
"T00101","Train","Station_45","Station_12",4,"Rain",16.99,53.05,13.46,2.34,"Protest",0,FALSE
"T00102","Train","Station_23","Station_13",39,"Storm",7.86,67.74,48.87,9.28,"Concert",0,TRUE
"T00103","Metro","Station_45","Station_4",14,"Snow",15.08,45.64,7.11,15.52,"Festival",0,TRUE
"T00104","Train","Station_45","Station_39",13,"Rain",19.06,NA,14.13,4.57,"Festival",0,TRUE
"T00105","Train","Station_34","Station_2",18,"Snow",-3.65,45.32,14.27,15.39,"Parade",0,TRUE
"T00106","Train","Station_9","Station_26",25,"Storm",NA,51.56,46.43,15.49,"Sports",0,TRUE
"T00107","Metro","Station_24","Station_27",14,"Storm",14.04,58.96,42.2,16.36,"No Event",0,TRUE
"T00108","Train","Station_8","Station_27",10,"Cloudy",12.09,54.35,13.15,1.29,"Sports",1,TRUE
"T00109","Tram","Station_7","Station_15",8,"Fog",NA,54.08,17.33,1.42,"No Event",1,TRUE
"T00110","Metro","Station_36","Station_8",5,"Clear",30.53,46.4,18.58,1.85,"No Event",1,TRUE
"T00111","Tram","Station_18","Station_7",-6,"Fog",27.65,43.64,5.92,2.15,"No Event",1,FALSE
"T00112","Metro","Station_3","Station_47",28,"Storm",6.72,58.14,46,25.89,"Festival",0,TRUE
"T00113","Train","Station_28","Station_46",7,"Storm",14.32,55.55,41.16,11.76,"No Event",0,TRUE
"T00114","Tram","Station_6","Station_40",7,"Fog",21.51,47.64,21.03,1.57,"Sports",0,TRUE
"T00115","Metro","Station_44","Station_12",19,"Storm",-4.23,55.03,45.86,16.82,"No Event",0,TRUE
"T00116","Bus","Station_44","Station_13",36,"Snow",0.399999999999999,47.07,12.59,13.93,"No Event",0,TRUE
"T00117","Train","Station_21","Station_43",2,"Rain",24.33,48.66,13.96,1.6,"No Event",0,FALSE
"T00118","Metro","Station_28","Station_17",14,"Storm",2.78,51.28,56.16,26.89,"Concert",0,TRUE
"T00119","Bus","Station_40","Station_17",11,"Fog",NA,57.13,20.75,1.68,"Festival",0,TRUE
"T00120","Metro","Station_1","Station_36",-7,"Fog",30.36,63.12,8.35,2.35,"No Event",0,FALSE
"T00121","Bus","Station_36","Station_21",9,"Fog",32.33,57.53,16.29,1.63,"No Event",0,TRUE
"T00122","Train","Station_21","Station_8",6,"Cloudy",14.84,46.16,9.42,2.56,"Concert",0,TRUE
"T00123","Tram","Station_43","Station_5",0,"Snow",3.8,45.56,9.08,16.03,"No Event",0,FALSE
"T00124","Bus","Station_35","Station_26",21,"Snow",8.92,46.11,5.74,13.86,"No Event",0,TRUE
"T00125","Metro","Station_13","Station_16",-3,"Cloudy",14.73,49.91,9.16,1.97,"No Event",0,FALSE
"T00126","Train","Station_49","Station_36",12,"Snow",4.79,46.65,9,13.98,"Concert",0,TRUE
"T00127","Bus","Station_10","Station_28",23,"Cloudy",27.83,57.55,2.68,1.96,"No Event",0,TRUE
"T00128","Metro","Station_44","Station_29",4,"Snow",3.3,57.54,12.38,14.91,"No Event",0,FALSE
"T00129","Metro","Station_47","Station_47",2,"Cloudy",27.77,57.29,16.69,1.6,"Parade",0,FALSE
"T00130","Metro","Station_10","Station_12",12,"Cloudy",21.07,55.23,10.28,2.68,"Sports",0,TRUE
"T00131","Bus","Station_46","Station_37",19,"Snow",11.76,50.3,9.42,14.4,"No Event",0,TRUE
"T00132","Bus","Station_13","Station_30",11,"Cloudy",29.8,57.73,15.98,2,"No Event",0,TRUE
"T00133","Bus","Station_37","Station_23",23,"Snow",7.47,43.7,11.79,14.85,"No Event",0,TRUE
"T00134","Tram","Station_38","Station_16",-1,"Cloudy",16.52,56.52,4.89,1.91,"No Event",0,FALSE
"T00135","Bus","Station_24","Station_14",3,"Fog",31.02,56.23,16.56,2.08,"No Event",0,FALSE
"T00136","Bus","Station_2","Station_10",-2,"Clear",34.61,57,11.01,1.72,"No Event",0,FALSE
"T00137","Bus","Station_22","Station_7",-10,"Snow",-2.39,44.72,16.56,14.27,"No Event",0,FALSE
"T00138","Tram","Station_17","Station_45",11,"Cloudy",33.79,58.52,17.49,1.72,"Festival",0,TRUE
"T00139","Bus","Station_36","Station_37",1,"Fog",20.26,51.25,9.86,1.82,"Festival",0,FALSE
"T00140","Metro","Station_14","Station_29",-2,"Clear",26.06,52.62,22.93,2.43,"No Event",0,FALSE
"T00141","Bus","Station_10","Station_3",14,"Cloudy",17.82,56.63,12.05,2.4,"Concert",0,TRUE
"T00142","Metro","Station_35","Station_15",-1,"Clear",22.53,55.18,11.09,1.89,"No Event",0,FALSE
"T00143","Metro","Station_25","Station_36",14,"Snow",2.17,52.61,16.02,15.33,"Concert",0,TRUE
"T00144","Metro","Station_3","Station_47",-4,"Clear",22.71,41.66,22.37,NA,"No Event",0,FALSE
"T00145","Tram","Station_47","Station_46",12,"Rain",20.56,58.05,18.2,9.62,"Festival",0,TRUE
"T00146","Tram","Station_38","Station_19",16,"Storm",8.31,52.71,45.47,28.63,"Festival",0,TRUE
"T00147","Tram","Station_17","Station_13",14,"Rain",12.6,52.04,17.59,1.76,"No Event",0,TRUE
"T00148","Bus","Station_12","Station_42",21,"Snow",-2.38,45.18,19.51,15.87,"Sports",1,TRUE
"T00149","Metro","Station_24","Station_21",16,"Snow",25.3,45.74,25.17,12.91,"Concert",1,TRUE
"T00150","Tram","Station_29","Station_37",5,"Clear",23.12,51.99,6.46,2.29,"No Event",1,TRUE
"T00151","Tram","Station_43","Station_27",4,"Fog",37.41,51.94,10.7,2.31,"Concert",1,FALSE
"T00152","Bus","Station_25","Station_29",33,"Cloudy",12.92,51,10.6,2.16,"Concert",0,TRUE
"T00153","Tram","Station_36","Station_20",22,"Storm",10.54,50.57,47.72,16.91,"Festival",0,TRUE
"T00154","Bus","Station_26","Station_25",20,"Cloudy",15.86,49.96,7.17,1.87,"Sports",0,TRUE
"T00155","Train","Station_38","Station_6",-5,"Fog",28.17,55.64,15.61,2.44,"No Event",0,FALSE
"T00156","Tram","Station_1","Station_36",15,"Snow",5.37,55.42,10.02,15.08,"Protest",0,TRUE
"T00157","Train","Station_20","Station_2",12,"Storm",-1.2,47.63,48.25,18.3,"Parade",0,TRUE
"T00158","Bus","Station_28","Station_22",11,"Rain",19.7,56.05,22.39,3.02,"No Event",0,TRUE
"T00159","Metro","Station_16","Station_32",11,"Snow",12.68,55.8,8.14,13.58,"No Event",0,TRUE
"T00160","Tram","Station_47","Station_16",5,"Snow",18.11,45.91,14.6,14.36,"Sports",0,TRUE
"T00161","Bus","Station_17","Station_18",36,"Clear",7.59,54.52,20.1,2.26,"Parade",0,TRUE
"T00162","Metro","Station_40","Station_5",-3,"Fog",22.49,58.92,20.42,2.04,"No Event",0,FALSE
"T00163","Metro","Station_28","Station_36",-7,"Clear",31.21,49.51,18.44,1.73,"No Event",0,FALSE
"T00164","Train","Station_12","Station_30",-9,"Clear",23.07,52.47,23.14,2.07,"No Event",0,FALSE
"T00165","Bus","Station_27","Station_45",21,"Cloudy",23.69,42.85,15.71,2.02,"Sports",0,TRUE
"T00166","Metro","Station_42","Station_19",15,"Snow",-1.68,39.64,20.31,14.86,"Festival",0,TRUE
"T00167","Tram","Station_47","Station_23",2,"Fog",24.47,52.54,14.54,1.93,"No Event",0,FALSE
"T00168","Tram","Station_30","Station_34",3,"Clear",24.54,49.49,18.41,1.61,"No Event",0,FALSE
"T00169","Train","Station_41","Station_13",30,"Rain",15.22,52.37,12,8.08,"Festival",0,TRUE
"T00170","Metro","Station_34","Station_43",12,"Storm",5.65,47.14,51.76,NA,"No Event",0,TRUE
"T00171","Bus","Station_37","Station_29",14,"Fog",25.4,46.85,17.32,2.11,"Festival",0,TRUE
"T00172","Tram","Station_6","Station_36",1,"Cloudy",23.02,50.1,19.85,1.9,"No Event",0,FALSE
"T00173","Metro","Station_7","Station_22",1,"Fog",28.47,56.89,19.72,1.62,"No Event",0,FALSE
"T00174","Metro","Station_32","Station_47",12,"Snow",1.48,56.29,22.24,15.31,"No Event",0,TRUE
"T00175","Train","Station_32","Station_36",3,"Cloudy",25.02,NA,22.49,1.38,"Concert",0,FALSE
"T00176","Tram","Station_25","Station_9",22,"Storm",20.63,54.31,44.21,26.08,"Festival",0,TRUE
"T00177","Tram","Station_33","Station_39",10,"Rain",16.78,38.27,5.88,8.28,"Parade",0,TRUE
"T00178","Bus","Station_7","Station_19",6,"Clear",31.01,48.95,18.72,2.34,"Protest",0,TRUE
"T00179","Tram","Station_12","Station_38",1,"Fog",31.19,54.54,12.12,1.56,"No Event",0,FALSE
"T00180","Bus","Station_16","Station_6",10,"Cloudy",20.82,55.79,13.94,2.16,"No Event",0,TRUE
"T00181","Tram","Station_16","Station_47",9,"Storm",19.4,39.62,36.28,29.3,"No Event",0,TRUE
"T00182","Train","Station_43","Station_15",1,"Clear",NA,52.53,18.78,1.19,"Festival",0,FALSE
"T00183","Tram","Station_36","Station_20",16,"Storm",13.89,48.43,28.05,22,"No Event",0,TRUE
"T00184","Bus","Station_13","Station_9",21,"Rain",13.08,55.45,5.94,-0.78,"Parade",0,TRUE
"T00185","Bus","Station_7","Station_32",26,"Clear",18.1,53.67,12.58,1.66,"Parade",0,TRUE
"T00186","Train","Station_36","Station_4",0,"Clear",26.03,57.72,12.27,2.16,"No Event",0,FALSE
"T00187","Tram","Station_47","Station_50",6,"Clear",29.57,61.08,13.98,2.02,"Festival",0,TRUE
"T00188","Tram","Station_9","Station_18",10,"Cloudy",19.91,58.51,15.82,1.21,"Parade",0,TRUE
"T00189","Train","Station_32","Station_5",-2,"Clear",25.86,47.47,15.37,1.4,"Protest",0,FALSE
"T00190","Tram","Station_11","Station_20",41,"Storm",17.07,45.47,49.52,30.89,"Concert",0,TRUE
"T00191","Tram","Station_8","Station_23",-6,"Cloudy",25.62,47.7,19.29,2.06,"Protest",0,FALSE
"T00192","Bus","Station_33","Station_11",6,"Clear",23.65,54.09,13.89,2.19,"No Event",0,TRUE
"T00193","Tram","Station_23","Station_37",24,"Storm",13.17,54.78,32.04,31.92,"Concert",0,TRUE
"T00194","Tram","Station_25","Station_22",8,"Storm",30.08,56.93,51.67,14.2,"No Event",0,TRUE
"T00195","Train","Station_8","Station_4",-8,"Fog",38.47,56.04,8.56,1.53,"No Event",0,FALSE
"T00196","Train","Station_45","Station_29",23,"Storm",21.93,60.01,47.13,16.98,"Festival",0,TRUE
"T00197","Metro","Station_22","Station_44",12,"Snow",9.62,44.35,23.05,16.16,"Concert",0,TRUE
"T00198","Bus","Station_4","Station_34",-6,"Rain",18.92,50.53,12.26,14.24,"No Event",0,FALSE
"T00199","Tram","Station_40","Station_13",7,"Clear",25.34,58.34,14.6,2.71,"No Event",0,TRUE
"T00200","Tram","Station_3","Station_42",7,"Clear",32.24,47.4,9.39,2.06,"Parade",0,TRUE
"T00201","Metro","Station_29","Station_9",8,"Clear",24.5,55.74,18.46,1.67,"Festival",0,TRUE
"T00202","Tram","Station_41","Station_42",3,"Storm",14.56,63.47,37.41,16.09,"No Event",0,FALSE
"T00203","Bus","Station_29","Station_31",45,"Storm",12.41,57.21,34.9,17.82,"Parade",0,TRUE
"T00204","Metro","Station_34","Station_7",7,"Clear",29.18,54.91,18.36,2.09,"No Event",1,TRUE
"T00205","Bus","Station_34","Station_4",16,"Snow",6.12,54.02,16.45,15.66,"Concert",1,TRUE
"T00206","Metro","Station_28","Station_19",3,"Cloudy",22.07,46.93,7.55,2.17,"Sports",1,FALSE
"T00207","Metro","Station_13","Station_42",13,"Cloudy",13.22,57.79,11.36,2.22,"Festival",1,TRUE
"T00208","Train","Station_15","Station_30",9,"Rain",22.89,54.61,16.81,12.83,"Festival",0,TRUE
"T00209","Bus","Station_23","Station_31",5,"Fog",27.22,56.53,6.33,2.08,"No Event",0,TRUE
"T00210","Tram","Station_44","Station_35",5,"Rain",21.22,53.15,17.77,0.43,"Concert",0,TRUE
"T00211","Tram","Station_26","Station_21",2,"Clear",24.14,64.46,23.27,2.45,"No Event",0,FALSE
"T00212","Bus","Station_4","Station_31",4,"Clear",23.38,54.74,13.42,1.57,"No Event",0,FALSE
"T00213","Tram","Station_26","Station_19",-1,"Clear",23.43,59.79,14.24,1.77,"No Event",0,FALSE
"T00214","Tram","Station_40","Station_31",-3,"Fog",25.29,55.97,25.9,2.31,"No Event",0,FALSE
"T00215","Bus","Station_9","Station_32",22,"Storm",2.53,49.73,28.98,20.23,"No Event",0,TRUE
"T00216","Metro","Station_5","Station_2",-7,"Fog",NA,46.23,22.92,1.66,"No Event",0,FALSE
"T00217","Bus","Station_32","Station_10",17,"Rain",18.75,NA,11.14,0.33,"Concert",0,TRUE
"T00218","Metro","Station_20","Station_2",23,"Storm",18.15,55.73,38.54,24.63,"Sports",0,TRUE
"T00219","Tram","Station_50","Station_2",17,"Storm",16.58,51.79,51.19,22.49,"No Event",0,TRUE
"T00220","Tram","Station_11","Station_24",32,"Rain",24.43,54.9,9.64,5.32,"Parade",0,TRUE
"T00221","Tram","Station_15","Station_17",13,"Storm",-0.140000000000001,50.69,37.63,36.74,"No Event",0,TRUE
"T00222","Train","Station_32","Station_32",-5,"Cloudy",25.96,52.15,19.69,1.71,"No Event",0,FALSE
"T00223","Metro","Station_28","Station_16",5,"Rain",15.35,56.84,14.92,8.07,"No Event",0,TRUE
"T00224","Train","Station_22","Station_16",6,"Rain",23.76,47.06,15.41,10.69,"No Event",0,TRUE
"T00225","Train","Station_41","Station_46",-7,"Cloudy",15.51,NA,16.74,2.21,"No Event",0,FALSE
"T00226","Bus","Station_17","Station_39",10,"Fog",25.62,53.85,14.29,2.29,"Festival",0,TRUE
"T00227","Train","Station_26","Station_31",-2,"Fog",27.38,52.6,16.68,1.61,"No Event",0,FALSE
"T00228","Bus","Station_44","Station_43",2,"Fog",23.23,47.69,12.7,2.35,"No Event",0,FALSE
"T00229","Bus","Station_7","Station_24",6,"Storm",11.88,62.12,48.3,13.27,"No Event",0,TRUE
"T00230","Train","Station_42","Station_1",4,"Cloudy",20.24,51.27,14.66,2.09,"Festival",0,FALSE
"T00231","Metro","Station_26","Station_11",4,"Rain",23.31,54.1,12.14,9.96,"No Event",0,FALSE
"T00232","Metro","Station_25","Station_21",2,"Rain",21.81,58.69,12.74,3.79,"Festival",0,FALSE
"T00233","Metro","Station_10","Station_4",4,"Rain",18.98,51.81,25.54,14.88,"No Event",0,FALSE
"T00234","Metro","Station_45","Station_7",6,"Storm",7.29,49.54,42.89,21.66,"No Event",0,TRUE
"T00235","Metro","Station_19","Station_26",18,"Storm",10.81,51.3,47.06,29.16,"No Event",0,TRUE
"T00236","Train","Station_11","Station_47",14,"Snow",-5.18,49.45,13.09,16.22,"Protest",0,TRUE
"T00237","Train","Station_13","Station_50",-1,"Fog",28.33,57.22,12.67,1.37,"Sports",0,FALSE
"T00238","Tram","Station_8","Station_12",3,"Snow",14.15,52.08,20.85,14.19,"No Event",0,FALSE
"T00239","Metro","Station_40","Station_31",7,"Snow",7.74,48.84,17.35,NA,"No Event",0,TRUE
"T00240","Train","Station_4","Station_17",21,"Storm",7.27,53.97,42.77,26.1,"No Event",0,TRUE
"T00241","Tram","Station_47","Station_33",7,"Fog",22.46,48.5,17.73,1.69,"No Event",0,TRUE
"T00242","Metro","Station_31","Station_11",1,"Fog",20.8,61.3,20.18,NA,"No Event",0,FALSE
"T00243","Bus","Station_28","Station_28",9,"Rain",20.24,53.77,21,-1.76,"Festival",0,TRUE
"T00244","Tram","Station_11","Station_32",35,"Storm",9.82,46.36,39.81,31.55,"Sports",1,TRUE
"T00245","Train","Station_43","Station_1",3,"Fog",13.06,57.61,17.24,2.02,"No Event",1,FALSE
"T00246","Bus","Station_1","Station_47",37,"Snow",15.42,41.38,11.29,15.98,"Parade",1,TRUE
"T00247","Bus","Station_49","Station_28",10,"Cloudy",11.54,53.66,15.47,2.29,"Festival",1,TRUE
"T00248","Bus","Station_47","Station_42",10,"Cloudy",19.02,47.5,18.88,1.94,"No Event",0,TRUE
"T00249","Tram","Station_38","Station_7",8,"Storm",14.94,47.01,48.53,30.56,"No Event",0,TRUE
"T00250","Train","Station_24","Station_2",4,"Rain",10.97,48.69,22.77,3.55,"Festival",0,FALSE
"T00251","Bus","Station_47","Station_42",-4,"Rain",12.73,58.69,16.1,6.48,"Concert",0,FALSE
"T00252","Metro","Station_31","Station_24",-1,"Fog",15.16,53.45,10.23,NA,"No Event",0,FALSE
"T00253","Bus","Station_41","Station_4",42,"Storm",NA,48.45,39.82,25.9,"Sports",0,TRUE
"T00254","Bus","Station_46","Station_44",16,"Cloudy",15.69,49.32,22.67,2.05,"No Event",0,TRUE
